src,trg
Gradient corrections to the kinetic energy density functional of a two-dimensional Fermi gas at finite temperature,Extended Thomas-Fermi Model at Finite Temperature
Quantum mechanical and information theoretic view on classical glass transitions,Topological order and topological entropy in classical systems
Spin-induced symmetry breaking in orbitally ordered NiCr2O4 and CuCr2O4,Magnetic Moment Arrangements and Magnetocrystalline Deformations in Antiferromagnetic Compounds
Chaotic sound waves in a regular billiard,Universal velocity correlations in disordered and chaotic systems
Improving Touschek lifetime in ultralow-emittance lattices through systematic application of successive closed vertical dispersion bumps,Pulsed sextupole injection for Sweden’s new light source MAX IV
Light propagation in the gravitational field of N arbitrarily moving bodies in the 1.5PN approximation for high-precision astrometry,Relativistic theory of astronomical reference systems in closed form
Stealth Schwarzschild solution in shift symmetry breaking theories,Transcendence of the Law of Baryon-Number Conservation in Black-Hole Physics
Dispersion Anomalies in Bilayer Cuprates and the Odd Symmetry of the Magnetic Resonance,Bilayer Splitting in the Electronic Structure of Heavily Overdoped Bi2Sr2CaCu2O8+δ
Chiral Spin Texture in the Charge-Density-Wave Phase of the Correlated Metallic Pb/Si(111) Monolayer,Insulating Ground State of Sn/Si(111)−(3×3)R30°
Meson theoretical basis for Dirac impulse approximation,Meson Theory of the Dirac Impulse Approximation
Active-sterile neutrino oscillations in the early Universe: Asymmetry generation at low |δm2| and the Landau-Zener approximation,Maximum lepton asymmetry from active-sterile neutrino oscillations in the early Universe
Orbital-frustration-induced ordering in semiconductor alloys,Evolution of alloy properties with long-range order
Dynamically optimized Wang-Landau sampling with adaptive trial moves and modification factors,Understanding and improving the Wang-Landau algorithm
Remark on the BRST symmetry in the Gribov-Zwanziger theory,Gribov parameter and the dimension two gluon condensate in Euclidean Yang-Mills theories in the Landau gauge
Lepton number violation in a little Higgs model,Phenomenology of the heavy BH in a littlest Higgs model
Electron tunneling into strongly disordered films: The influence of structure on electron-electron interactions,Density-of-States Anomalies in a Disordered Conductor: A Tunneling Study
Deviations from Dynamic Scaling in Helium and Antiferromagnets,Light Scattering from First and Second Sound near the λ Transition in Liquid He
Hyperon weak radiative decays in chiral perturbation theory,Weak hyperon radiative processes and the asymmetry parameter in Ξ−→Σ−γ decay
Electron capture decay of 116In and nuclear structure of double β decays,Double-beta decay to excited 0+ states: Decay of Mo100
Interacting shells in AdS spacetime and chaos,Resonant Dynamics and the Instability of Anti–de Sitter Spacetime
Spin-orbit coupling in the metallic and spin-liquid phases of Na4Ir3O8,Novel Jeff=1/2 Mott State Induced by Relativistic Spin-Orbit Coupling in Sr2IrO4
Nielsen-Taylor Effect in the Thermopower of Dilute Lead Alloys,Nielsen-Taylor Effect in the Thermopower of Dilute Aluminum Alloys
Non-Markovian continuous-time quantum walks on lattices with dynamical noise,Quantum computation and decision trees
Single-photon-driven high-order sideband transitions in an ultrastrongly coupled circuit-quantum-electrodynamics system,Photon Blockade in the Ultrastrong Coupling Regime
Tensorial slip theory for gas flows and comparison with molecular dynamics simulations using an anisotropic gas-wall collision mechanism,Effects of surface morphology and anisotropy on the tangential-momentum accommodation coefficient between Pt(100) and Ar
Acceptance dependence of fluctuation measures near the QCD critical point,Dynamic universality class of the QCD critical point
"High-pressure phases of group-IV, III–V, and II–VI compounds",Theoretical study on the high-pressure phase transformation in ZnSe
Structure and Energetics of Molecular Point Defects in Ice Ih,Orientational Defects in Ice Ih: An Interpretation of Electrical Conductivity Measurements
Far-infrared properties of lattice resonant modes. VI. Hydrostatic pressure effects,Investigation of Tunneling States Using the Spin-Phonon Interaction. II. Analysis
Neutron-diffraction study of the antiferromagnetic form factor of La2NiO4,Field-induced magnetic form factor of La2CuO4−y
Faddeev calculations for low-energy p-d scattering,Separable representation of the Paris nucleon-nucleon potential
Ca3P2 and other topological semimetals with line nodes and drumhead surface states,Dirac Line Nodes in Inversion-Symmetric Crystals
Measuring spatial coupling in inhomogeneous dynamical systems,Time Dependence of Flow Patterns near the Convective Threshold in a Cylindrical Container
Impurity-Induced Local Magnetism and Density of States in the Superconducting State of YBa2Cu3O7,Comparison of the influence of Ni and Zn impurities on the electromagnetic properties of YBa2Cu3O6.95
Spacetime thermodynamics with contorsion,“Physical process version” of the first law and the generalized second law for charged and rotating black holes
Formulation of elastic and inelastic breakup-fusion reactions,"Multistep direct reaction analysis of analyzing powers of continuum spectra in (p,α) reactions"
Interplay between coarsening and nucleation in an Ising model with dipolar interactions,Langevin dynamics of fluctuation-induced first-order phase transitions: Self-consistent Hartree approximation
Neutron Investigation of the Ion Dynamics in Liquid Mercury: Evidence for Collective Excitations,Evidence for an Instability Near Twice the Fermi Wave Vector in the Low Electronic Density Liquid Metal Li(NH3)4
Duality for symmetric second rank tensors: The massive case,Classical direct interstring action
Discrepancies between asymptotic and exact spectral-gap analyses of quantum adiabatic barrier tunneling,Scaling analysis and instantons for thermally assisted tunneling and quantum Monte Carlo simulations
Proton Pickup from Sr86 and the Rb85 Level Structure,"Levels of Sr88 from the Sr86(t,p)Sr88 Reaction"
Effects of α-cluster breaking on 3α-cluster structures in C12,One-Dimensional α Condensation of α-Linear-Chain States in C12 and O16
Phenomenological and spectroscopic evidence for defect-induced high-temperature superconductivity,Band structure of Bi2Sr2CaCu2O8 studied by angle-resolved photoemission
Measurement of the pp¯→WZ+X cross section at s=1.96  TeV and limits on WWZ trilinear gauge couplings,Studies of WW and WZ production and limits on anomalous WWγ and WWZ couplings
Quantum Field - Theory Models in Less Than 4 Dimensions,Broken Scale Invariance in Scalar Field Theory
"Gluino-driven radiative breaking, Higgs boson mass, muon g−2, and the Higgs diphoton decay in supergravity unification",Reach of Fermilab Tevatron upgrades for SU(5) supergravity models with nonuniversal gaugino masses
Giant multipole resonances and the three-fluid hydrodynamical model of nuclei,"Investigation of the Pb208(p, p′) Reaction at E=54 MeV"
Competition between α decay and cluster radioactivity for superheavy nuclei with a universal decay-law formula,Further improvements on a global nuclear mass model
Explicit inclusion of the spin-orbit contribution in the Tohsaki-Horiuchi-Schuck-Röpke wave function,Di-neutron correlations in H7
Optical investigations of defects in Cd1−xZnxTe,Electronic properties of A centers in CdTe: A comparison with experiment
Integrated Sachs-Wolfe effect in massive bigravity,Correlating the CMB with luminous red galaxies: The integrated Sachs-Wolfe effect
Enhancement of the loop-induced H±W∓Z0 vertex in the two-Higgs-doublet model,Nondecoupling effects of Higgs bosons on e+e−→WL+WL− in the two-doublet model
Spectral analysis of the high-energy IceCube neutrinos,Aspects of the flavor triangle for cosmic neutrino propagation
Turning intractable counting into sampling: Computing the configurational entropy of three-dimensional jammed packings,Energy landscape of the finite-size spherical three-spin glass model
Symmetric Fermion Mass Generation as Deconfined Quantum Criticality,Interacting topological insulator and emergent grand unified theory
Self-organization of chaos synchronization and pattern formation in coupled chaotic oscillators,Coupled oscillator systems of cultured cardiac myocytes: Fluctuation and scaling properties
Generalized Pseudopotentials for the Anisotropic Fractional Quantum Hall Effect,Framing Anomaly in the Effective Theory of the Fractional Quantum Hall Effect
Properties of singularities in the (phantom) dark energy universe,Final state and thermodynamics of a dark energy universe
Multipolar origin of bound states in the continuum,Topological Nature of Optical Bound States in the Continuum
Flexocoupling-induced soft acoustic modes and the spatially modulated phases in ferroelectrics,Dynamic flexoelectric effect in perovskites from first-principles calculations
Chemisorption of Hydrogen Molecules on Carbon Nanotubes under High Pressure,Soft self-consistent pseudopotentials in a generalized eigenvalue formalism
Staircase to higher-order topological phase transitions,Topological massive Dirac edge modes and long-range superconducting Hamiltonians
Multiphoton π Pulses,Nonperturbative analysis of the two-level atom: Applications to multiphoton excitation
Stability of an extended model of the elctron,New derivation of Lopez’s source of the Kerr-Newman field
